codigo;descricao
1;Pago.
2;Protestado.
3;Retirado.
4;Sustado.
5;Devolvido pelo Cartório por irregularidade – Sem custas. Quando o cartório não cobrar custas quando da devolução do título por irregularidade.
6;Devolvido pelo Cartório por irregularidade – Com custas.
7;Liquidação em Condicional - Utilizada para os títulos liquidados em Cartório com cheque do próprio devedor
8;Título Aceito – Utilizado para Letras de Câmbio e Duplicatas, para aceite do sacado.
9;Edital, apenas nos Estados da Bahia e Rio de Janeiro.
A;Protesto do banco cancelado
B;Protesto já efetuado
C;Protesto por edital
D;Retirada por edital
E;Protesto de terceiro cancelado
F;desistência do protesto por liquidação bancária
G;Sustado Definitivo
I;Emissão da 2ª via do Instrumento do Protesto
J;Cancelamento já efetuado anteriormente
X;Cancelamento não efetuado
Z;Retirada por falta de prazo para o repasse da guia de recolhimento = devolução com código 98
