1|0000|05005501|BANCO DO BRASIL AG 001 - BOM PRINCIPIO/RS|B|4302352|201401|201401|2|2|KVRZCXXXBTHJNXUYCPLWQKGSFRMPTV|2||2.3.0|1|
2|430|123456789|825|10100001|0,00|0,00|1123665,00|0,00||1123665,00|5,00|||||
3|430|123456789|1709||0,00|0,00|4565449,00|0,00||4565449,00|2,5|||||
4|430|123456789|1959||0,00|0,00|1625192,00|0,00||1625192,00||||||
5|430|123456789|2945||0,00|0,00|4787901,00|0,00||4787901,00||||||
6|430|123456789|6285||0,00|0,00|4587870,00|0,00||4587870,00||||||
7|430|123456789|7465||0,00|0,00|2652074,00|0,00||2652074,00||||||
8|430|123456789|7490||0,00|0,00|4884184,00|0,00||4884184,00||||||
9|430|123456789|8880||0,00|0,00|3404050,00|0,00||3404050,00||||||
10|430|123456789|8881||0,00|0,00|4216185,00|0,00||4216185,00||||||
11|430|123456789|8882||0,00|0,00|1656943,00|0,00||1656943,00||||||
12|430|123456789|8883||0,00|0,00|3249915,00|0,00||3249915,00||||||
13|430|123456789|8884||0,00|0,00|2784499,00|0,00||2784499,00||||||
14|430|123456789|8929||0,00|0,00|789533,00|0,00||789533,00||||||
15|430|123456789|9553||0,00|0,00|4824976,00|0,00||4824976,00||||||
16|430|123456789|317049||0,00|0,00|4874945,00|0,00||4874945,00||||||
17|430|123456789|317065||0,00|0,00|3823493,00|0,00||3823493,00||||||
18|430|123456789|317076||0,00|0,00|782835,00|0,00||782835,00||||||
19|430|123456789|317083||0,00|0,00|1109225,00|0,00||1109225,00||||||
20|430|123456789|317157||0,00|0,00|1132350,00|0,00||1132350,00||||||
21|430|123456789|317501||0,00|0,00|2552166,00|0,00||2552166,00||||||
22|430|123456789|317502||0,00|0,00|3728598,00|0,00||3728598,00||||||
23|430|123456789|317503||0,00|0,00|1364972,00|0,00||1364972,00||||||
24|430|123456789|317504||0,00|0,00|3657180,00|0,00||3657180,00||||||
25|430|123456789|317505||0,00|0,00|4746769,00|0,00||4746769,00||||||
26|430|123456789|317506||0,00|0,00|505172,00|0,00||505172,00||||||
27|430|123456789|451000||0,00|0,00|2886572,00|0,00||2886572,00||||||
28|430|123456789|455000||0,00|0,00|4774910,00|0,00||4774910,00||||||
29|430|123456789|671000||0,00|0,00|1543930,00|0,00||1543930,00||||||
30|430|123456789|671001||0,00|0,00|2590717,00|0,00||2590717,00||||||
31|430|123456789|671105||0,00|0,00|4576445,00|0,00||4576445,00||||||
32|430|123456789|671140||0,00|0,00|2651844,00|0,00||2651844,00||||||
33|430|123456789|671145||0,00|0,00|2355428,00|0,00||2355428,00||||||
34|430|123456789|671150||0,00|0,00|529748,00|0,00||529748,00||||||
35|430|123456789|671780||0,00|0,00|1465661,00|0,00||1465661,00||||||
36|430|123456789|671799||0,00|0,00|1212273,00|0,00||1212273,00||||||
37|430|123456789|671920||0,00|0,00|1845829,00|0,00||1845829,00||||||
38|430|123456789|671930||0,00|0,00|4153357,00|0,00||4153357,00||||||
39|430|123456789|671970||0,00|0,00|1438922,00|0,00||1438922,00||||||
40|430|123456789|671999||0,00|0,00|3370571,00|0,00||3370571,00||||||
41|430|123456789|673000||0,00|0,00|4554529,00|0,00||4554529,00||||||
42|430|123456789|673910||0,00|0,00|1502096,00|0,00||1502096,00||||||
43|430|123456789|673999||0,00|0,00|4590638,00|0,00||4590638,00||||||
44|430|123456789|971001||0,00|0,00|2678595,00|0,00||2678595,00||||||
45|430|123456789|971003||0,00|0,00|1610496,00|0,00||1610496,00||||||
46|430|123456789|971007||0,00|0,00|3102049,00|0,00||3102049,00||||||
47|430|123456789|971008||0,00|0,00|812168,00|0,00||812168,00||||||
48|430|123456789|971009||0,00|0,00|4229436,00|0,00||4229436,00||||||
49|430|123456789|971010||0,00|0,00|1752989,00|0,00||1752989,00||||||
50|430|123456789|971011||0,00|0,00|1614122,00|0,00||1614122,00||||||
51|430|123456789|971012||0,00|0,00|1593336,00|0,00||1593336,00||||||
52|430|123456789|971013||0,00|0,00|2891472,00|0,00||2891472,00||||||
53|430|123456789|971014||0,00|0,00|4123351,00|0,00||4123351,00||||||
54|430|123456789|971015||0,00|0,00|4518183,00|0,00||4518183,00||||||
55|430|123456789|971016||0,00|0,00|3498700,00|0,00||3498700,00||||||
56|430|123456789|971017||0,00|0,00|2985884,00|0,00||2985884,00||||||
57|430|123456789|971018||0,00|0,00|3870978,00|0,00||3870978,00||||||
58|430|123456789|971019||0,00|0,00|1280622,00|0,00||1280622,00||||||
59|430|123456789|971020||0,00|0,00|3946153,00|0,00||3946153,00||||||
60|430|123456789|971021||0,00|0,00|4138373,00|0,00||4138373,00||||||
61|430|123456789|971022||0,00|0,00|1182186,00|0,00||1182186,00||||||
62|430|123456789|971023||0,00|0,00|4547391,00|0,00||4547391,00||||||
63|430|123456789|971027||0,00|0,00|1745690,00|0,00||1745690,00||||||
64|430|123456789|971028||0,00|0,00|4359810,00|0,00||4359810,00||||||
65|430|123456789|971031||0,00|0,00|4651078,00|0,00||4651078,00||||||
66|430|123456789|971033||0,00|0,00|4074017,00|0,00||4074017,00||||||
67|430|123456789|971034||0,00|0,00|1120383,00|0,00||1120383,00||||||
68|430|123456789|971039||0,00|0,00|3049264,00|0,00||3049264,00||||||
